"","Gender","EthnicGroup","ParentEduc","TestPrep","ParentMaritalStatus","PracticeSport","IsFirstChild","NrSiblings","TransportMeans","WklyStudyHours","MathScore","ReadingScore","WritingScore","OverallScore"
"11082","male","Asiática","bachelor's degree","none","married","regularly",1,1,0,"5 - 10",51,54,41,49
"11083","male","Caucásica","some college","completed","married","sometimes",0,0,0,"< 5",82,88,85,85
"11085","female","Asiática","some college","completed","single","regularly",0,1,0,"< 5",75,82,82,80
"11086","female","Negra","associate's degree","none","divorced","sometimes",0,0,0,"5 - 10",37,56,55,49
"11088","male","Asiática","master's degree","none","married","sometimes",0,1,0,"> 10",71,75,79,75
"11089","male","Asiática","associate's degree","none","married","sometimes",1,1,0,"< 5",62,68,64,65
"11090","male","Negra","some high school","completed","widowed","sometimes",0,1,0,"5 - 10",85,77,78,80
"11091","male","Negra","high school","none","married","regularly",0,1,0,"5 - 10",52,52,47,50
"11092","male","Hispana","bachelor's degree","completed","married","regularly",0,0,0,"< 5",82,79,86,82
"11093","male","Caucásica","associate's degree","none","married","never",0,1,0,"< 5",80,74,71,75
"11099","male","Hispana","some college","completed","married","regularly",0,1,1,"< 5",51,48,56,52
"11101","male","Hispana","some high school","none","single","regularly",0,1,1,"5 - 10",79,61,60,67
"11106","female","Americana","bachelor's degree","none","single","regularly",1,1,1,"5 - 10",52,62,57,57
"11108","male","Caucásica","bachelor's degree","none","married","regularly",0,1,1,"< 5",87,79,76,81
"11109","male","Asiática","bachelor's degree","completed","married","never",0,1,0,"5 - 10",86,80,80,82
"11110","female","Asiática","associate's degree","completed","married","never",0,1,1,"5 - 10",43,68,66,59
"11111","male","Americana","associate's degree","completed","single","sometimes",1,1,1,"5 - 10",68,71,69,69
"11112","male","Hispana","some high school","completed","married","sometimes",1,1,0,"5 - 10",81,81,84,82
"11113","female","Hispana","associate's degree","none","divorced","regularly",1,1,0,"< 5",77,78,86,80
"11116","male","Asiática","master's degree","none","single","sometimes",1,1,0,"< 5",61,61,60,61
"11118","male","Hispana","some college","none","married","regularly",1,1,1,"< 5",79,72,72,74
"11120","female","Negra","some college","completed","married","regularly",1,1,0,"5 - 10",53,59,63,58
"11122","male","Negra","some college","none","single","regularly",0,1,1,"> 10",70,71,70,70
"11123","male","Negra","associate's degree","none","married","never",0,1,1,"5 - 10",46,40,38,41
"11124","male","Asiática","bachelor's degree","none","single","never",1,1,0,"< 5",59,59,47,55
"11125","female","Negra","some college","none","divorced","sometimes",0,1,0,"< 5",32,37,36,35
"11126","female","Asiática","some college","none","married","regularly",0,1,1,"> 10",56,53,55,55
"11127","female","Asiática","some high school","none","single","sometimes",0,1,1,"< 5",43,49,50,47
"11128","male","Asiática","some high school","none","married","sometimes",0,1,1,"5 - 10",65,60,56,60
"11131","male","Asiática","associate's degree","none","divorced","regularly",0,1,1,"> 10",65,58,61,61
"11134","female","Asiática","high school","none","married","sometimes",1,1,0,"5 - 10",24,36,32,31
"11136","male","Negra","high school","completed","married","regularly",0,1,1,"5 - 10",90,89,87,89
"11137","male","Asiática","some high school","none","married","sometimes",1,1,1,"5 - 10",55,62,51,56
"11138","female","Asiática","master's degree","completed","divorced","sometimes",1,1,0,"5 - 10",42,59,61,54
"11141","female","Caucásica","bachelor's degree","none","married","regularly",1,1,0,"> 10",100,100,100,100
"11142","male","Asiática","high school","completed","married","regularly",0,1,1,"5 - 10",91,87,86,88
"11144","female","Negra","some high school","none","single","regularly",1,1,0,"5 - 10",32,38,36,35
"11145","female","Asiática","some college","none","married","sometimes",0,1,1,"< 5",39,62,64,55
"11146","female","Asiática","high school","none","married","regularly",0,1,0,"5 - 10",65,64,60,63
"11147","female","Caucásica","some high school","none","single","regularly",0,1,0,"< 5",60,68,67,65
"11149","male","Caucásica","some college","none","single","regularly",0,0,0,"< 5",60,46,46,51
"11150","male","Americana","some high school","none","divorced","sometimes",1,1,0,"5 - 10",59,62,56,59
"11151","female","Asiática","high school","none","married","regularly",0,0,1,"5 - 10",65,68,69,67
"11153","male","Asiática","high school","none","single","sometimes",1,1,0,"< 5",64,65,63,64
"11154","female","Asiática","associate's degree","none","married","sometimes",1,1,1,"< 5",50,65,66,60
"11157","female","Negra","associate's degree","completed","married","sometimes",0,1,1,"5 - 10",53,63,64,60
"11159","male","Asiática","high school","none","divorced","sometimes",1,1,0,"5 - 10",47,41,36,41
"11160","female","Negra","bachelor's degree","completed","divorced","regularly",1,1,0,"5 - 10",86,100,99,95
"11163","female","Caucásica","some high school","none","married","never",0,1,0,"5 - 10",67,72,72,70
"11166","female","Asiática","some high school","completed","married","regularly",1,1,0,"< 5",57,72,71,67
"11167","male","Hispana","some high school","none","married","sometimes",0,1,1,"5 - 10",59,60,55,58
"11168","female","Hispana","bachelor's degree","completed","divorced","regularly",0,1,0,"< 5",69,94,96,86
"11169","female","Negra","high school","none","divorced","regularly",1,1,0,"5 - 10",46,59,58,54
"11170","male","Negra","associate's degree","none","single","regularly",0,0,0,"< 5",57,56,59,57
"11171","male","Asiática","some college","completed","married","sometimes",0,0,1,"> 10",78,76,71,75
"11172","female","Caucásica","some high school","none","married","regularly",1,1,0,"5 - 10",79,86,84,83
"11174","male","Hispana","some college","none","single","never",0,0,1,"5 - 10",89,88,81,86
"11177","male","Hispana","some high school","completed","married","regularly",1,1,1,"< 5",63,69,71,68
"11178","female","Asiática","bachelor's degree","completed","divorced","regularly",1,1,1,"5 - 10",80,81,83,81
"11179","male","Americana","associate's degree","none","married","sometimes",0,1,1,"> 10",73,68,70,70
"11182","female","Hispana","some high school","completed","divorced","sometimes",1,1,1,"> 10",33,46,46,42
"11184","male","Asiática","bachelor's degree","none","divorced","sometimes",1,1,1,"> 10",71,58,61,63
"11185","male","Caucásica","bachelor's degree","completed","married","never",0,1,1,"5 - 10",80,79,80,80
"11186","female","Negra","associate's degree","completed","divorced","never",0,1,1,"5 - 10",65,65,73,68
"11187","female","Negra","some high school","completed","single","regularly",0,1,1,"5 - 10",69,75,76,73
"11188","male","Asiática","master's degree","none","divorced","regularly",1,1,1,"5 - 10",67,65,63,65
"11189","female","Asiática","some high school","none","divorced","sometimes",1,1,1,"5 - 10",66,73,70,70
"11191","female","Hispana","some college","none","single","sometimes",1,1,0,"5 - 10",63,73,67,68
"11193","female","Caucásica","associate's degree","none","single","regularly",0,1,1,"5 - 10",69,69,71,70
"11194","female","Americana","bachelor's degree","none","married","sometimes",1,1,1,"5 - 10",57,60,57,58
"11195","female","Asiática","some high school","none","married","regularly",0,1,1,"< 5",46,49,50,48
"11196","female","Caucásica","associate's degree","none","married","sometimes",0,1,0,"> 10",50,62,60,57
"11197","male","Asiática","some high school","none","married","regularly",0,1,1,"5 - 10",80,71,72,74
"11198","female","Asiática","some college","none","divorced","regularly",0,1,1,"5 - 10",61,73,71,68
"11199","female","Asiática","associate's degree","none","married","sometimes",1,1,1,"5 - 10",68,79,74,74
"11200","female","Hispana","some college","none","single","sometimes",0,0,0,"5 - 10",51,55,57,54
"11202","male","Negra","associate's degree","none","married","never",0,1,0,"5 - 10",62,58,51,57
"11203","female","Hispana","bachelor's degree","none","married","regularly",0,1,1,"5 - 10",59,77,70,69
"11204","female","Hispana","high school","none","single","sometimes",1,1,0,"> 10",57,66,64,62
"11205","male","Hispana","high school","completed","married","regularly",0,1,0,"< 5",80,75,83,79
"11206","female","Negra","bachelor's degree","none","divorced","never",1,1,0,"5 - 10",52,68,66,62
"11208","female","Negra","some college","completed","divorced","never",0,1,1,"5 - 10",75,80,80,78
"11210","female","Negra","some college","none","single","never",1,1,0,"5 - 10",47,62,57,55
"11212","female","Negra","some high school","none","divorced","never",1,1,1,"< 5",52,56,55,54
"11214","female","Asiática","high school","none","divorced","regularly",0,1,0,"5 - 10",75,91,90,85
"11216","male","Hispana","high school","none","divorced","never",1,1,1,"5 - 10",52,54,48,51
"11218","female","Caucásica","associate's degree","none","divorced","sometimes",1,1,1,"5 - 10",77,65,66,69
"11220","female","Negra","bachelor's degree","completed","married","regularly",1,1,1,"5 - 10",71,82,88,80
"11222","female","Hispana","bachelor's degree","completed","single","regularly",1,1,1,"< 5",48,62,62,57
"11223","female","Hispana","associate's degree","none","divorced","sometimes",0,1,0,"5 - 10",88,100,100,96
"11226","male","Hispana","high school","none","divorced","never",0,1,0,"< 5",61,62,54,59
"11228","female","Asiática","high school","none","married","regularly",1,1,0,"5 - 10",66,72,67,68
"11229","female","Asiática","some high school","none","married","regularly",1,1,1,"> 10",73,78,75,75
"11230","female","Hispana","associate's degree","none","divorced","regularly",0,1,0,"< 5",71,85,84,80
"11231","male","Asiática","bachelor's degree","none","married","sometimes",0,1,1,"5 - 10",66,68,70,68
"11232","male","Asiática","associate's degree","none","divorced","sometimes",1,1,0,"< 5",90,76,78,81
"11233","male","Asiática","associate's degree","none","single","sometimes",0,1,1,"5 - 10",59,48,51,53
"11235","male","Hispana","some high school","completed","married","sometimes",0,1,0,"> 10",42,50,48,47
"11237","female","Americana","bachelor's degree","none","single","sometimes",0,1,0,"5 - 10",57,70,68,65
"11239","female","Asiática","some college","none","single","regularly",0,1,0,"< 5",79,84,84,82
"11240","male","Asiática","some college","none","married","regularly",0,1,0,"5 - 10",65,61,56,61
"11241","female","Asiática","some college","completed","married","sometimes",0,1,0,"5 - 10",90,95,99,95
"11242","male","Caucásica","bachelor's degree","completed","married","regularly",0,1,0,"5 - 10",96,87,90,91
"11243","female","Asiática","bachelor's degree","none","widowed","regularly",0,1,0,"< 5",62,66,67,65
"11244","male","Negra","high school","completed","single","sometimes",0,1,1,"< 5",49,40,40,43
"11245","female","Negra","associate's degree","completed","divorced","never",0,1,1,"5 - 10",53,70,74,66
"11247","male","Hispana","high school","none","married","sometimes",1,1,1,"5 - 10",68,61,60,63
"11248","female","Americana","associate's degree","completed","divorced","sometimes",0,1,0,"> 10",73,78,82,78
"11252","female","Asiática","some college","none","married","sometimes",1,1,0,"5 - 10",48,57,57,54
"11253","female","Asiática","master's degree","completed","married","sometimes",0,1,1,"5 - 10",68,86,85,80
"11254","male","Hispana","some college","none","single","sometimes",0,0,1,"> 10",79,84,78,80
"11255","male","Negra","bachelor's degree","none","single","sometimes",0,1,0,"5 - 10",45,55,54,51
"11256","female","Caucásica","some college","none","married","sometimes",1,1,1,"< 5",52,66,63,60
"11259","female","Negra","high school","none","married","sometimes",0,0,0,"5 - 10",45,55,49,50
"11261","female","Asiática","some college","completed","married","sometimes",1,1,1,"5 - 10",79,86,84,83
"11262","female","Caucásica","some high school","none","divorced","regularly",0,1,1,"5 - 10",86,87,78,84
"11263","male","Negra","some high school","completed","divorced","sometimes",0,1,1,"5 - 10",76,76,72,75
"11264","female","Caucásica","master's degree","completed","divorced","sometimes",1,1,0,"5 - 10",58,73,77,69
"11265","male","Americana","master's degree","completed","married","sometimes",0,1,0,"5 - 10",77,82,82,80
"11266","male","Asiática","some college","none","single","sometimes",0,1,0,"5 - 10",76,71,71,73
"11269","male","Hispana","master's degree","none","single","regularly",0,1,1,"< 5",85,78,78,80
"11270","male","Caucásica","associate's degree","completed","married","regularly",1,1,1,"5 - 10",88,75,78,80
"11271","female","Asiática","associate's degree","none","single","regularly",0,1,0,"5 - 10",53,66,60,60
"11273","female","Americana","some high school","none","married","sometimes",1,1,1,"< 5",68,73,71,71
"11274","male","Caucásica","master's degree","none","divorced","regularly",0,1,1,"5 - 10",68,51,62,60
"11275","male","Hispana","bachelor's degree","none","married","sometimes",1,1,0,"5 - 10",84,81,87,84
"11276","female","Hispana","associate's degree","completed","married","sometimes",0,1,0,"5 - 10",86,99,100,95
"11277","female","Asiática","associate's degree","none","single","sometimes",0,1,1,"< 5",45,60,52,52
"11279","male","Negra","some high school","none","single","sometimes",0,1,0,"> 10",73,77,68,73
"11280","female","Negra","some high school","none","married","regularly",0,1,0,"5 - 10",45,51,51,49
"11282","male","Asiática","some college","completed","married","regularly",0,0,0,"< 5",82,74,71,76
"11284","female","Americana","high school","completed","married","sometimes",1,1,1,"> 10",54,77,78,70
"11285","male","Hispana","high school","none","married","regularly",1,1,1,"> 10",65,64,63,64
"11286","female","Asiática","some high school","completed","married","sometimes",0,1,1,"5 - 10",73,75,83,77
"11287","female","Caucásica","high school","none","divorced","regularly",1,1,0,"< 5",51,56,52,53
"11288","female","Hispana","associate's degree","completed","single","regularly",0,1,1,"5 - 10",55,55,64,58
"11291","female","Asiática","some high school","none","married","regularly",0,1,0,"5 - 10",37,50,42,43
"11293","male","Hispana","some high school","completed","married","regularly",1,1,1,"5 - 10",55,62,54,57
"11294","female","Caucásica","some college","completed","married","regularly",0,1,0,"< 5",71,86,88,82
"11299","female","Hispana","some high school","completed","single","sometimes",0,1,0,"5 - 10",71,78,83,77
"11301","male","Negra","bachelor's degree","none","married","sometimes",0,1,1,"5 - 10",70,72,64,69
"11302","male","Americana","high school","completed","married","sometimes",0,1,0,"5 - 10",77,90,81,83
"11303","male","Hispana","master's degree","completed","married","regularly",1,1,1,"> 10",75,61,69,68
"11304","female","Caucásica","high school","none","single","sometimes",0,1,0,"> 10",82,86,83,84
"11305","female","Hispana","high school","none","divorced","regularly",0,1,1,"5 - 10",45,63,59,56
"11306","female","Asiática","bachelor's degree","completed","married","sometimes",0,0,1,"5 - 10",56,71,70,66
"11308","female","Hispana","some high school","none","divorced","regularly",0,1,0,"5 - 10",61,70,66,66
"11310","male","Negra","bachelor's degree","none","married","regularly",1,1,1,"> 10",63,54,52,56
"11313","male","Asiática","some college","none","married","regularly",0,1,0,"> 10",77,67,71,72
"11314","male","Hispana","high school","none","divorced","sometimes",1,1,0,"< 5",59,61,55,58
"11315","female","Hispana","high school","none","divorced","sometimes",0,1,1,"5 - 10",32,32,35,33
"11316","female","Caucásica","high school","none","single","never",1,1,0,"5 - 10",59,68,66,64
"11317","female","Caucásica","high school","none","single","sometimes",0,1,0,"< 5",62,59,57,59
"11318","female","Hispana","some college","none","divorced","sometimes",0,0,0,"5 - 10",73,84,78,78
"11319","male","Hispana","associate's degree","none","single","sometimes",0,1,1,"> 10",64,65,62,64
"11320","female","Asiática","associate's degree","completed","married","sometimes",1,1,1,"5 - 10",51,60,55,55
"11322","male","Caucásica","master's degree","completed","married","never",0,0,0,"< 5",69,62,67,66
"11323","female","Negra","some college","none","single","regularly",1,1,0,"< 5",58,64,68,63
"11324","male","Asiática","associate's degree","none","married","sometimes",1,1,1,"< 5",68,63,62,64
"11328","male","Negra","some high school","none","married","regularly",0,1,0,"< 5",58,54,55,56
"11329","male","Asiática","associate's degree","none","divorced","sometimes",1,1,1,"< 5",75,78,72,75
"11330","female","Americana","master's degree","completed","married","sometimes",0,1,0,"5 - 10",89,100,100,96
"11331","female","Hispana","high school","none","married","sometimes",0,1,0,"5 - 10",49,61,59,56
"11332","male","Hispana","high school","completed","married","sometimes",1,1,1,"5 - 10",75,64,69,69
"11333","female","Asiática","associate's degree","completed","single","regularly",1,1,0,"5 - 10",75,85,88,83
"11334","male","Asiática","high school","none","married","sometimes",0,1,1,"5 - 10",17,22,15,18
"11337","female","Hispana","high school","completed","married","sometimes",1,1,0,"5 - 10",65,75,78,73
"11339","male","Asiática","associate's degree","completed","married","sometimes",1,1,1,"5 - 10",80,78,78,79
"11340","male","Asiática","master's degree","none","married","sometimes",0,0,1,"5 - 10",87,80,82,83
"11341","female","Hispana","high school","none","married","sometimes",0,0,0,"5 - 10",66,72,72,70
"11342","female","Hispana","high school","none","divorced","never",0,1,0,"5 - 10",62,64,70,65
"11344","female","Asiática","associate's degree","none","married","regularly",1,1,1,"5 - 10",30,46,46,41
"11345","male","Hispana","some high school","none","single","never",0,1,0,"5 - 10",62,55,59,59
"11346","male","Caucásica","high school","none","married","regularly",0,1,0,"5 - 10",54,52,49,52
"11348","male","Asiática","some college","completed","single","regularly",0,1,0,"5 - 10",98,94,100,97
"11349","female","Asiática","bachelor's degree","none","married","sometimes",0,1,1,"5 - 10",69,73,75,72
"11350","female","Caucásica","high school","completed","married","never",1,1,1,"5 - 10",85,88,86,86
"11351","male","Asiática","high school","none","divorced","regularly",0,0,1,"5 - 10",69,62,63,65
"11352","female","Hispana","associate's degree","none","married","sometimes",0,0,1,"> 10",74,75,77,75
"11353","female","Hispana","some high school","none","single","sometimes",1,1,0,"5 - 10",63,69,69,67
"11354","male","Negra","associate's degree","completed","married","sometimes",1,1,0,"5 - 10",64,61,59,61
"11355","male","Hispana","some college","completed","married","sometimes",0,1,0,"5 - 10",83,77,80,80
"11356","male","Caucásica","some college","none","married","regularly",1,1,1,"5 - 10",75,63,61,66
"11358","male","Asiática","some college","completed","married","regularly",1,1,1,"> 10",79,75,79,78
"11359","male","Hispana","some college","none","married","sometimes",1,1,0,"< 5",65,59,56,60
"11360","female","Caucásica","some college","completed","divorced","regularly",0,1,0,"> 10",83,87,84,85
"11361","female","Hispana","some high school","none","single","sometimes",0,0,1,"5 - 10",44,49,45,46
"11362","female","Hispana","associate's degree","none","married","sometimes",0,1,1,"5 - 10",68,64,72,68
"11363","male","Hispana","bachelor's degree","none","married","regularly",0,1,0,"5 - 10",64,65,66,65
"11364","male","Asiática","high school","none","married","sometimes",0,1,0,"< 5",67,68,68,68
"11366","female","Hispana","some college","none","married","sometimes",0,1,0,"< 5",44,43,50,46
"11369","female","Asiática","bachelor's degree","completed","married","never",1,1,0,"5 - 10",84,95,96,92
"11370","female","Americana","some college","none","single","sometimes",0,1,0,"5 - 10",70,76,80,75
"11371","male","Asiática","high school","completed","single","sometimes",0,1,0,"5 - 10",66,64,58,63
"11372","female","Asiática","bachelor's degree","none","married","sometimes",0,1,1,"5 - 10",55,63,60,59
"11373","female","Hispana","some high school","none","married","sometimes",1,1,1,"> 10",44,57,54,52
"11374","female","Asiática","associate's degree","none","single","sometimes",0,1,1,"> 10",67,69,67,68
"11375","male","Asiática","some college","none","married","regularly",0,0,0,"< 5",64,66,63,64
"11376","male","Negra","associate's degree","completed","married","regularly",0,1,1,"5 - 10",70,75,72,72
"11377","male","Asiática","some college","none","single","regularly",1,1,0,"5 - 10",65,60,60,62
"11379","male","Negra","master's degree","completed","married","regularly",0,1,0,"< 5",84,84,87,85
"11382","male","Negra","associate's degree","completed","divorced","regularly",0,1,0,"5 - 10",64,69,72,68
"11383","male","Hispana","associate's degree","completed","single","never",1,1,1,"5 - 10",76,81,80,79
"11385","male","Caucásica","associate's degree","none","married","sometimes",0,1,0,"5 - 10",87,74,75,79
"11389","male","Hispana","high school","none","married","sometimes",0,1,1,"> 10",61,61,58,60
"11390","male","Hispana","bachelor's degree","none","married","never",1,1,1,"< 5",69,54,59,61
"11392","male","Negra","high school","none","married","never",0,1,0,"5 - 10",45,40,37,41
"11394","female","Asiática","some college","none","married","sometimes",1,1,0,"5 - 10",73,68,70,70
"11396","female","Americana","some college","completed","divorced","sometimes",1,1,0,"5 - 10",65,77,78,73
"11397","female","Asiática","associate's degree","none","divorced","regularly",0,1,1,"> 10",61,75,70,69
"11400","male","Asiática","some college","none","married","sometimes",0,0,1,"5 - 10",59,51,55,55
"11402","male","Hispana","some college","completed","single","sometimes",0,1,1,"5 - 10",57,52,59,56
"11403","male","Negra","some high school","completed","married","sometimes",0,1,0,"5 - 10",34,52,44,43
"11404","female","Caucásica","some college","none","single","regularly",0,1,0,"< 5",89,91,92,91
"11405","male","Asiática","some college","none","divorced","regularly",0,1,1,"< 5",82,85,77,81
"11406","female","Hispana","some high school","completed","married","sometimes",0,0,1,"5 - 10",82,80,85,82
"11407","female","Asiática","some college","completed","widowed","never",0,1,1,"< 5",74,93,94,87
"11410","male","Negra","high school","none","married","regularly",1,1,0,"< 5",59,41,44,48
"11414","male","Hispana","bachelor's degree","completed","married","sometimes",0,1,1,"< 5",72,78,84,78
"11415","male","Asiática","associate's degree","none","single","sometimes",0,1,0,"< 5",31,36,27,31
"11416","male","Asiática","some high school","completed","married","regularly",0,1,0,"5 - 10",75,72,70,72
"11417","male","Hispana","some high school","none","single","regularly",1,1,1,"< 5",47,57,54,53
"11418","female","Negra","some college","none","married","sometimes",1,1,0,"< 5",68,86,81,78
"11420","male","Hispana","some college","completed","married","never",0,1,0,"> 10",66,71,70,69
"11421","female","Hispana","some high school","completed","single","sometimes",0,1,1,"< 5",56,75,73,68
"11422","female","Asiática","high school","completed","married","sometimes",0,1,0,"> 10",73,78,83,78
"11423","male","Caucásica","some college","none","married","sometimes",0,1,1,"> 10",60,50,47,52
"11424","male","Asiática","high school","none","married","never",1,1,1,"< 5",84,80,70,78
"11426","female","Hispana","some high school","none","divorced","regularly",0,1,1,"< 5",48,60,60,56
"11428","male","Asiática","some college","completed","divorced","regularly",0,1,0,"5 - 10",48,54,56,53
"11430","male","Hispana","associate's degree","completed","divorced","sometimes",0,1,1,"5 - 10",74,64,66,68
"11431","female","Caucásica","some college","completed","single","sometimes",0,1,1,"5 - 10",72,84,81,79
"11432","female","Hispana","some college","none","divorced","regularly",0,0,1,"< 5",83,90,89,87
"11433","female","Hispana","associate's degree","completed","married","regularly",1,1,0,"< 5",46,61,62,56
"11435","male","Asiática","associate's degree","completed","divorced","sometimes",0,1,1,"5 - 10",77,68,64,70
"11439","female","Negra","high school","none","married","sometimes",0,1,0,"5 - 10",59,76,73,69
"11441","female","Caucásica","high school","none","single","sometimes",0,0,1,"5 - 10",76,87,83,82
"11445","male","Caucásica","some college","completed","divorced","sometimes",0,1,0,"5 - 10",78,76,76,77
"11447","female","Negra","some college","none","married","never",0,1,1,"< 5",19,38,28,28
"11448","female","Hispana","associate's degree","none","married","sometimes",1,1,1,"< 5",58,62,69,63
"11449","female","Hispana","high school","none","divorced","regularly",0,1,1,"5 - 10",46,62,57,55
"11450","male","Caucásica","high school","none","widowed","regularly",0,1,1,"> 10",64,50,36,50
"11452","female","Asiática","bachelor's degree","none","married","never",0,1,1,"5 - 10",60,77,66,68
"11453","female","Americana","bachelor's degree","none","married","sometimes",0,1,0,"< 5",71,80,79,77
"11455","female","Americana","some high school","none","divorced","sometimes",0,1,0,"5 - 10",55,53,58,55
"11456","female","Negra","associate's degree","completed","divorced","regularly",1,1,0,"5 - 10",40,51,55,49
"11459","female","Asiática","high school","none","married","regularly",0,0,1,"> 10",54,64,69,62
"11460","female","Asiática","bachelor's degree","none","married","regularly",0,1,0,"> 10",62,71,71,68
"11461","female","Asiática","bachelor's degree","none","married","sometimes",1,1,1,"5 - 10",89,100,100,96
"11462","female","Negra","some college","none","widowed","sometimes",1,1,1,"5 - 10",62,59,62,61
"11463","male","Asiática","associate's degree","none","married","sometimes",0,1,0,"5 - 10",50,57,48,52
"11465","male","Caucásica","some college","none","married","sometimes",0,0,1,"< 5",75,82,72,76
"11467","female","Negra","associate's degree","none","married","regularly",0,1,1,"5 - 10",65,68,70,68
"11469","male","Hispana","bachelor's degree","none","married","sometimes",0,1,0,"5 - 10",85,74,79,79
"11471","female","Hispana","bachelor's degree","none","married","regularly",0,1,0,"< 5",53,64,67,61
"11472","female","Asiática","master's degree","none","single","regularly",0,1,0,"5 - 10",77,76,77,77
"11473","male","Negra","some college","completed","single","never",1,1,0,"> 10",72,67,74,71
"11474","female","Asiática","bachelor's degree","none","married","sometimes",0,1,1,"< 5",81,83,82,82
"11477","female","Hispana","high school","none","divorced","sometimes",0,1,0,"5 - 10",72,86,82,80
"11479","female","Negra","master's degree","none","single","sometimes",0,1,0,"5 - 10",58,70,66,65
"11480","male","Americana","some high school","none","widowed","sometimes",1,1,1,"< 5",69,63,63,65
"11483","male","Hispana","high school","completed","married","regularly",1,1,0,"5 - 10",74,68,71,71
"11484","male","Asiática","some college","completed","single","regularly",1,1,0,"> 10",60,50,56,55
"11485","female","Asiática","some high school","none","widowed","sometimes",0,1,0,"< 5",36,52,44,44
"11487","female","Asiática","master's degree","none","married","sometimes",0,0,1,"5 - 10",65,76,78,73
"11489","female","Asiática","some high school","completed","married","never",0,0,0,"5 - 10",62,73,74,70
"11490","male","Americana","some college","completed","married","sometimes",1,1,1,"> 10",89,89,83,87
"11491","female","Hispana","master's degree","completed","divorced","regularly",0,1,1,"> 10",98,93,100,97
"11492","female","Negra","some college","none","married","regularly",0,1,0,"5 - 10",57,69,61,62
"11493","male","Negra","high school","completed","married","sometimes",1,1,0,"5 - 10",89,90,91,90
"11495","female","Asiática","associate's degree","none","married","never",1,1,1,"5 - 10",70,71,76,72
"11497","male","Caucásica","some college","none","married","sometimes",1,1,0,"5 - 10",87,68,66,74
"11498","male","Negra","master's degree","none","married","regularly",0,1,1,"> 10",47,44,49,47
"11499","male","Caucásica","some college","none","divorced","regularly",0,0,0,"< 5",58,55,54,56
"11500","male","Asiática","some college","none","widowed","sometimes",1,1,0,"5 - 10",47,44,41,44
"11503","female","Asiática","bachelor's degree","completed","married","sometimes",0,1,0,"5 - 10",88,95,95,93
"11504","female","Hispana","some high school","completed","married","never",1,1,0,"5 - 10",62,70,69,67
"11505","male","Asiática","master's degree","completed","married","sometimes",0,1,0,"5 - 10",73,81,79,78
"11508","male","Asiática","some high school","completed","married","regularly",0,1,0,"< 5",63,60,57,60
"11509","male","Negra","some college","completed","married","sometimes",0,1,0,"< 5",49,58,54,54
"11510","male","Negra","some college","none","married","never",0,1,0,"< 5",64,58,64,62
"11513","female","Hispana","some college","completed","divorced","sometimes",0,1,1,"> 10",73,89,94,85
"11514","female","Hispana","some high school","completed","married","regularly",1,1,0,"< 5",54,64,73,64
"11515","male","Caucásica","associate's degree","none","married","regularly",1,1,1,"5 - 10",67,66,60,64
"11516","female","Asiática","high school","completed","single","sometimes",1,1,0,"5 - 10",62,74,78,71
"11519","female","Hispana","associate's degree","none","married","sometimes",1,1,0,"< 5",56,68,70,65
"11524","female","Asiática","bachelor's degree","completed","married","sometimes",1,1,0,"5 - 10",66,70,79,72
"11525","male","Negra","high school","none","divorced","sometimes",0,1,1,"5 - 10",69,54,57,60
"11526","male","Hispana","high school","none","married","sometimes",0,1,0,"5 - 10",66,75,64,68
"11527","male","Hispana","master's degree","none","single","regularly",0,1,0,"5 - 10",90,94,96,93
"11528","female","Hispana","associate's degree","none","single","regularly",0,1,0,"< 5",44,60,59,54
"11531","male","Asiática","master's degree","none","divorced","sometimes",1,1,0,"< 5",67,65,71,68
"11535","female","Hispana","bachelor's degree","none","married","sometimes",0,1,1,"< 5",57,67,58,61
"11536","male","Asiática","associate's degree","completed","married","sometimes",0,1,1,"> 10",72,82,83,79
"11540","male","Hispana","bachelor's degree","completed","married","sometimes",1,1,1,"5 - 10",75,77,79,77
"11542","female","Negra","high school","none","widowed","sometimes",0,1,0,"5 - 10",45,52,48,48
"11543","female","Asiática","some college","completed","divorced","sometimes",1,1,0,"> 10",88,94,93,92
"11544","female","Negra","some college","none","married","regularly",1,1,0,"5 - 10",48,72,66,62
"11545","male","Hispana","some high school","completed","divorced","sometimes",0,1,1,"5 - 10",59,52,58,56
"11547","female","Asiática","some high school","none","divorced","sometimes",1,1,0,"5 - 10",46,64,61,57
"11548","male","Asiática","associate's degree","none","divorced","sometimes",0,1,1,"5 - 10",33,34,27,31
"11549","male","Hispana","some college","none","divorced","regularly",1,1,0,"< 5",68,64,67,66
"11550","male","Hispana","high school","completed","married","sometimes",0,0,0,"> 10",75,63,65,68
"11551","male","Hispana","high school","none","married","sometimes",0,1,0,"< 5",45,49,48,47
"11553","male","Americana","some high school","none","married","sometimes",1,1,1,"< 5",71,54,52,59
"11555","male","Negra","some high school","none","married","sometimes",1,1,1,"5 - 10",56,59,47,54
"11558","female","Negra","high school","none","married","regularly",0,1,1,"5 - 10",70,81,78,76
"11559","male","Hispana","some college","none","married","regularly",1,1,0,"< 5",80,71,72,74
"11560","female","Americana","some college","completed","married","sometimes",0,1,1,"5 - 10",56,63,59,59
"11561","female","Asiática","some high school","none","married","regularly",0,1,1,"5 - 10",82,86,82,83
